ID	yeasTSSdb (+/- 100bp)	>10% overlap with predicted UTRs (Nagalakshmi 2008)	chr	db	type	end5	end3	length	strand	gene_id_up	strand_up	up_gene_name	gene_id_down	strand_down	down_gene_name	baseMean_wt	log2FoldChange_wt	TPMs_wt	lfcSE_wt	pvalue_wt	padj_wt	baseMean_kar4	log2FoldChange_kar4	TPMs_kar4	lfcSE_kar4	pvalue_kar4	padj_kar4	Kar4 dependent_kar4	baseMean_ste12	log2FoldChange_ste12	TPMs_ste12	lfcSE_ste12	pvalue_ste12	padj_ste12	Ste12 dependent_ste12	Max(|Log2FC|)_ste12
MSTRG.81			IV	StringTie	transcript	48328	49732	1404	-	YDL227C	-	HO	YDL226C	-	GCS1	424.69	4.54	3890.55	0.17	1.19E-167	7.48E-165	73.90	2.55	589.92	0.24	1.14E-28	5.35E-27		24.88	0.09	185.68	0.19	4.37E-01	7.38E-01	Y	4.54378018
MSTRG.548			XIV	StringTie	transcript	547519	547737	218	+	YNL042W-B	+	YNL042W-B	YNL042W	+	BOP3	242.32	4.22	13548.45	0.19	1.09E-106	3.43E-104	246.09	3.53	13031.13	0.16	2.13E-111	6.97E-109		11.91	0.14	475.01	0.23	1.78E-01	5.18E-01	Y	4.21616514
MSTRG.490	CP_supported		XIII	StringTie	transcript	259319	260026	707	-	tS(AGA)M	-	tS(AGA)M	YML005W	+	TRM12	335.03	3.17	6235.89	0.15	5.38E-100	1.13E-97	121.40	1.43	2239.51	0.17	1.07E-18	2.93E-17		65.41	-0.04	919.95	0.15	7.22E-01	9.02E-01	Y	3.1654219
MSTRG.399			X	StringTie	transcript	721103	725480	4377	-	YJR152W	+	DAL5	YJR154W	+	YJR154W	1031.58	2.09	3257.19	0.10	4.59E-98	7.21E-96	1297.75	2.29	4205.61	0.10	9.93E-111	2.17E-108		476.26	0.11	1094.16	0.11	2.03E-01	5.48E-01	Y	2.294226146
MSTRG.65			III	StringTie	transcript	168411	169546	1135	+	tQ(UUG)C	-	tQ(UUG)C	YCR028C	-	FEN2	427.02	2.73	4914.40	0.14	5.63E-91	7.07E-89	202.77	2.76	2320.73	0.15	4.03E-74	4.40E-72		15.18	0.00	114.55	0.21	9.79E-01	1.00E+00	Y	2.758521209
MSTRG.403	CP_supported		XI	StringTie	transcript	5988	7784	1796	-	YKL222C	-	YKL222C	YKL220C	-	FRE2	223.72	4.44	1249.29	0.23	7.46E-86	7.81E-84	252.34	4.26	1782.74	0.19	4.48E-116	2.93E-113		12.18	0.12	71.34	0.22	2.74E-01	5.99E-01	Y	4.43736726
MSTRG.235			V	StringTie	transcript	564631	566946	2315	-	NA	NA	NA	YER188W	+	YER188W	287.59	2.61	1564.77	0.15	2.61E-68	2.34E-66	194.97	2.85	1067.51	0.16	8.23E-76	1.08E-73		71.17	-0.07	293.88	0.15	5.51E-01	8.04E-01	Y	2.845798869
MSTRG.124			IV	StringTie	transcript	1022407	1023045	638	-	YDR281C	-	PHM6	YDR282C	-	MRX10	161.80	5.48	3508.17	0.32	4.44E-68	3.49E-66	58.31	4.43	1039.36	0.64	1.14E-13	2.20E-12		7.32	-0.07	118.64	0.23	4.44E-01	1.00E+00	Y	5.47863504
MSTRG.8	CP_supported		I	StringTie	transcript	45326	45685	359	-	YAL054C	-	ACS1	YAL053W	+	FLC2	109.67	4.59	3542.88	0.29	8.89E-58	6.20E-56	182.68	4.79	5997.81	0.35	1.30E-43	8.54E-42		11.32	-0.11	323.57	0.23	2.61E-01	5.88E-01	Y	4.793718735
MSTRG.82	CP_supported		IV	StringTie	transcript	49796	50918	1122	+	NA	NA	NA	YDL226C	-	GCS1	109.24	-3.44	1174.80	0.22	3.28E-56	2.06E-54	144.60	-0.93	1697.16	0.15	1.10E-10	1.38E-09		194.13	-0.30	1656.45	0.14	7.19E-03	7.75E-02		3.4416663
