newID	start	stop	chr	newname	X1_1_Kar4dep_Ste12_AF_log2Fold	X1_1_Kar4dep_Ste12_AF_log2Q	X1_1_Kar4dep_Ste12_AF_Sig	X1_1_Kar4dep_Ste12_AF_Ctrl	closest	closestdist	in_feature	in_feature_prom_dist
1	68186	68426	chrI	chrI:68306	1.532	-20.872	226.5	103.2	CLN3	786	NA	NA
2	69863	70245	chrI	chrI:69983_chrI:70000_chrI:70045_chrI:70125	5.603	-614.484	999	27	CYC3	458	NA	NA
3	183457	183697	chrI	chrI:183577	1.708	-7.617	60.6	16.2	UIP3	193	NA	NA
4	43060	43300	chrII	chrII:43180	3.904	-9.216	18.3	4.7	MRX3	97	YBL096C	302
5	192061	192301	chrII	chrII:192181	1.839	-128.924	929.1	323.3	FUS3	270	NA	NA
6	226881	227121	chrII	chrII:227001	2.239	-35.605	165.4	57.5	UTP20	635	NA	NA
7	316413	316841	chrII	chrII:316533_chrII:316721	4.601	-691.317	1300.4	118.7	FIG1	247	NA	NA
8	317069	317309	chrII	chrII:317189	2.966	-74.573	237.7	60.6	FAT1	1077	FIG1	221
9	317406	317646	chrII	chrII:317526	1.746	-13.234	104.1	54.8	FAT1	740	FIG1	558
10	393204	393444	chrII	chrII:393324	2.65	-74.563	263.9	44.3	SLM4	1031	ECM33	201
11	425072	425312	chrII	chrII:425192	4.119	-12.571	28	11.6	IST2	2151	POL30	574
12	554781	555021	chrII	chrII:554901	1.242	-7.652	162.3	65.1	ICS2	591	NA	NA
13	555328	555794	chrII	chrII:555448_chrII:555674	2.346	-61.268	267.6	66.9	AMN1	1101	NA	NA
14	555920	556211	chrII	chrII:556040_chrII:556091	1.681	-44.036	395.9	141.8	AMN1	458	NA	NA
15	668772	669012	chrII	chrII:668892	4.295	-12.492	23.9	6.4	PCS60	541	TDP1	1405
16	670367	670607	chrII	chrII:670487	4.906	-89.911	162.5	9.2	YBR225W	140	YBR224W	362
17	28096	28336	chrIII	chrIII:28216	4.5	-20.18	29.3	0	PEX34	857	KAR4	287
18	28661	28901	chrIII	chrIII:28781	3.822	-9.211	19.4	0.6	PEX34	1422	KAR4	852
19	28970	29210	chrIII	chrIII:29090	4.639	-10.496	34.7	14.2	PEX34	1731	NA	NA
20	71481	71750	chrIII	chrIII:71601_chrIII:71619_chrIII:71630	2.634	-489.302	1778.9	391	FUS1	173	NA	NA
21	71847	72087	chrIII	chrIII:71967	1.317	-7.334	111.8	60.9	BIK1	2046	FUS1	164
22	123706	123946	chrIII	chrIII:123826	3.601	-371.484	881.2	107.8	YCR006C	823	NA	NA
23	131601	131860	chrIII	chrIII:131721_chrIII:131740	5.372	-894.559	1485.7	50.1	RVS161	198	NA	NA
24	131889	132129	chrIII	chrIII:132009	4.074	-37.746	87.3	15.3	RVS161	467	NA	NA
25	168267	168631	chrIII	chrIII:168387_chrIII:168511	4.559	-487.182	910.7	66.5	RHB1	388	NA	NA
26	266951	267272	chrIII	chrIII:267071_chrIII:267107_chrIII:267152	4.629	-Inf	3601.5	213	FIG2	363	NA	NA
27	267493	267733	chrIII	chrIII:267613	2.409	-84.239	366.7	125.3	YCR087C-A	3146	FIG2	179
28	27271	27511	chrIV	chrIV:27391	3.484	-6.67	14.9	2.1	AIM6	3266	ADY3	1384
29	50609	50849	chrIV	chrIV:50729	3.62	-41.831	100.9	18.1	SHS1	1716	NA	NA
30	219337	219577	chrIV	chrIV:219457	6.029	-50.372	94.5	9.4	RDI1	169	NA	NA
31	234248	234862	chrIV	chrIV:234368_chrIV:234388_chrIV:234582_chrIV:234688_chrIV:234742	3.068	-432.928	1251.3	174.9	PCL2	239	NA	NA
32	235001	235241	chrIV	chrIV:235121	1.803	-19.809	144.9	53.4	YDL124W	5138	PCL2	194
33	542375	542615	chrIV	chrIV:542495	1.648	-11.188	99.2	42.9	YDR042C	1292	NA	NA
34	616374	616738	chrIV	chrIV:616494_chrIV:616530_chrIV:616618	4.971	-Inf	2238.9	94.3	AFR1	380	NA	NA
35	668763	669003	chrIV	chrIV:668883	4.832	-80.408	148.1	9.4	TMS1	2113	NA	NA
36	700010	700250	chrIV	chrIV:700130	3.899	-312.7	677.3	66.2	YDR124W	185	NA	NA
37	746196	746436	chrIV	chrIV:746316	2.592	-20.641	79.5	22.9	MKC7	215	NA	NA
38	944461	944701	chrIV	chrIV:944581	3.1	-20.414	57.6	9	BUD26	570	SNU56	571
39	945737	945977	chrIV	chrIV:945857	3.174	-165.267	459.2	74.3	SNU56	705	NA	NA
40	1023429	1023669	chrIV	chrIV:1023549	3.932	-44.106	101.5	14.9	PHM6	1228	MRX10	1206
41	1080325	1080754	chrIV	chrIV:1080445_chrIV:1080567_chrIV:1080589_chrIV:1080634	1.73	-164.9	1403	500.6	GIC2	390	NA	NA
42	1087113	1087353	chrIV	chrIV:1087233	3.415	-33.786	90.7	22.7	SSF2	348	NA	NA
43	1379756	1379996	chrIV	chrIV:1379876	4.291	-11.582	32.9	10	TFB3	3935	NA	NA
44	20758	20998	chrIX	chrIX:20878	4.528	-124.384	236.9	14.7	IMA3	2325	NA	NA
45	21823	22263	chrIX	chrIX:21943_chrIX:22143	1.274	-15.472	295.1	126	IMA3	3590	NA	NA
46	141668	141948	chrIX	chrIX:141788_chrIX:141828	2.599	-134.149	501.2	133.4	PRM5	259	NA	NA
47	175194	175434	chrIX	chrIX:175314	2.886	-28.445	97.2	14.8	YIL102C	427	XBP1	1936
48	204797	205037	chrIX	chrIX:204917	1.735	-11.787	90.1	27.8	CAB2	264	NA	NA
49	284673	284913	chrIX	chrIX:284793	2.54	-12.639	52.8	12.8	CST6	873	PRM2	206
50	285013	285308	chrIX	chrIX:285133_chrIX:285188	6.095	-216.214	343	15.8	PRM2	134	NA	NA
51	321944	322184	chrIX	chrIX:322064	1.2	-19.397	437.3	307.8	BAR1	278	NA	NA
52	192572	192812	chrV	chrV:192692	4.533	-257.087	487.9	28.3	SPC25	68	NA	NA
53	349599	349839	chrV	chrV:349719	2.757	-37.017	125.2	16.8	RAD51	261	NA	NA
54	434495	434735	chrV	chrV:434615	1.826	-26.457	192	81.7	YER133W-A	2576	NA	NA
55	506283	506523	chrV	chrV:506403	4.081	-7.701	20.1	1.9	GCG1	2621	CHD1	1011
56	566488	566728	chrV	chrV:566608	2.989	-41.951	127.8	26	YER188W	1432	YER187W	378
57	566768	567008	chrV	chrV:566888	4.935	-992.769	1737.7	95.9	YER188W	1152	NA	NA
58	82207	82587	chrVI	chrVI:82327_chrVI:82467	1.194	-17.396	444.5	376.9	STE2	253	NA	NA
59	140064	140304	chrVII	chrVII:140184	4.464	-961.606	1832.5	119.4	YGL194C-A	223	NA	NA
60	141498	142136	chrVII	chrVII:141618_chrVII:141797_chrVII:141799_chrVII:142016	6.208	-556.962	860.7	16.9	HOS2	71	NA	NA
61	212618	212858	chrVII	chrVII:212738	3.56	-36.988	93.9	15.3	CDC43	1343	AMS1	2322
62	402574	402814	chrVII	chrVII:402694	2.207	-15.71	78.9	31.7	YGL052W	743	PRM8	105
63	443214	443524	chrVII	chrVII:443334_chrVII:443404	2.743	-185.179	637.4	90.4	SCW11	495	NA	NA
64	452284	452524	chrVII	chrVII:452404	3.368	-30.723	79.2	11	STT3	0	STT3	0
65	682476	682716	chrVII	chrVII:682596	4.69	-17.8	40.2	6.2	TEL2	5303	ESP1	4862
66	707633	707873	chrVII	chrVII:707753	2.863	-10.502	34	5.4	CLB6	1252	NA	NA
67	736305	736545	chrVII	chrVII:736425	1.66	-33.744	297.6	115	YGR122C-A	667	NA	NA
